iter	Logloss
125	0.417974625
126	0.4174382167
127	0.416925062
128	0.4169243364
129	0.4169236525
130	0.4159169285
131	0.4155129234
132	0.4155124434
133	0.4148498155
134	0.4141291622
135	0.4140674423
136	0.4140670582
137	0.4140666963
138	0.4126887144
139	0.4126881675
140	0.4126310896
141	0.4126306045
142	0.4109383205
143	0.4109379813
144	0.4106126652
145	0.4104716389
146	0.4097611517
147	0.409693755
148	0.4096934211
149	0.4096640316
150	0.4080435795
151	0.4075394331
152	0.4075391433
153	0.4074471264
154	0.4074468728
155	0.4062870618
156	0.4061675745
157	0.4044017379
158	0.404284694
159	0.4037523588
160	0.4026071712
161	0.401192454
162	0.4011921258
163	0.4010600506
164	0.4005284763
165	0.4001051124
166	0.3993314217
167	0.3993314014
168	0.3993313194
169	0.398992939
170	0.3986969426
171	0.3977246505
172	0.3975890184
173	0.3975889562
174	0.397338847
175	0.3970449284
176	0.3970448626
177	0.3969019143
178	0.3969019008
179	0.3969018721
180	0.3966248367
181	0.3965242076
182	0.3947024788
183	0.3947024785
184	0.3947024783
185	0.3945855336
186	0.3945855318
187	0.3945855299
188	0.3945518637
189	0.3936399262
190	0.3936324482
191	0.3936324342
192	0.3934913488
193	0.3933511159
194	0.3933511141
195	0.392935733
196	0.3929357311
197	0.392935728
198	0.3929357273
199	0.3929357257
200	0.3928435299
201	0.3925359636
202	0.392072154
203	0.3915309635
204	0.3909195838
205	0.3905660904
206	0.3898096537
207	0.3898096534
208	0.3891231956
209	0.3891231945
210	0.3889201025
211	0.3889201019
212	0.3877766502
213	0.3877766501
214	0.3865930607
215	0.3864230425
216	0.3862272679
217	0.3856509463
218	0.3855952744
219	0.3855952717
220	0.3855952716
221	0.385595049
222	0.3855300794
223	0.3852345216
224	0.3851567803
225	0.3851567798
226	0.3847796398
227	0.3847242243
228	0.3845362817
229	0.3845362809
230	0.3845362665
231	0.3844837321
232	0.3844534411
233	0.3843403748
234	0.3833056084
235	0.3830741807
236	0.3830628957
237	0.3830628889
238	0.3829880441
239	0.3827942493
240	0.3827942433
241	0.3827942419
242	0.3827942348
243	0.3824711287
244	0.3824711279
245	0.3824358619
246	0.3823741136
247	0.3822986552
248	0.3817408512
249	0.3817408506
250	0.3817408419
251	0.3810725253
252	0.3809694196
253	0.3809694156
254	0.3799547738
255	0.3799547735
256	0.3799547685
257	0.3789875696
258	0.3789875695
259	0.3785475042
260	0.3783507374
261	0.3783507372
262	0.3782482752
263	0.3782381502
264	0.3778870582
265	0.3773869306
266	0.3773869305
267	0.3773271039
268	0.3773271036
269	0.3770429448
270	0.377042944
271	0.3770429437
272	0.3770082032
273	0.3769078686
274	0.375700426
275	0.3757004249
276	0.3757004249
277	0.3757004238
278	0.3757004222
279	0.3756102808
280	0.3755461057
281	0.3754762506
282	0.3754762506
283	0.3748223493
284	0.3747212349
285	0.3743230115
286	0.3742759282
287	0.3742759221
288	0.3742759201
289	0.3739836875
290	0.3735892879
291	0.3735887329
292	0.3735887316
293	0.3726716847
294	0.3726092586
295	0.3723666088
296	0.3723112632
297	0.3719282058
298	0.3718800306
299	0.3717262258
300	0.3716823683
301	0.3715748335
302	0.3715207858
303	0.3715207853
304	0.3715207703
305	0.3714786049
306	0.3708459903
307	0.3707497981
308	0.3700634657
309	0.3700634639
310	0.36999233
311	0.3695552356
312	0.3693304087
313	0.369249076
314	0.3691807702
315	0.3691807432
316	0.3691807395
317	0.3688955999
318	0.3681246208
319	0.3681245592
320	0.3681100597
321	0.3681100362
322	0.3680727512
323	0.3679441982
324	0.3678831605
325	0.3667978238
326	0.366729577
327	0.3666192223
328	0.3658663548
329	0.3658663521
330	0.3657069493
331	0.3657069489
332	0.36558895
333	0.3655391628
334	0.3655108417
335	0.3648188785
336	0.3647404088
337	0.3645895555
338	0.3645895485
339	0.3645234696
340	0.3644781305
341	0.3644228375
342	0.3643310842
343	0.3642546311
344	0.3642297582
345	0.3642293311
346	0.3642293308
347	0.3642109686
348	0.3640768246
349	0.3639240937
350	0.363782616
351	0.3636380231
352	0.3636205074
353	0.3635771664
354	0.3635771644
355	0.363577163
356	0.3635771602
357	0.3631884383
358	0.3627721356
359	0.3627301568
360	0.3626257991
361	0.362392928
362	0.3616509765
363	0.3615405567
364	0.3614373592
365	0.3614373565
366	0.3614206101
367	0.3614201991
368	0.3600035606
369	0.3599589634
370	0.3591653171
371	0.3591481095
372	0.3590078049
373	0.3590078042
374	0.3589372892
375	0.3588137517
376	0.3588137426
377	0.3588101652
378	0.3586400095
379	0.3586396292
380	0.3586396248
381	0.35859937
382	0.3584988716
383	0.3580675594
384	0.3576635218
385	0.3576635198
386	0.3576635188
387	0.3576005313
388	0.3575318947
389	0.3568026637
390	0.3553601806
391	0.3553601792
392	0.3552815643
393	0.3548846424
394	0.3548328411
395	0.3548328404
396	0.3547613101
397	0.35476131
398	0.3545326002
399	0.3545325984
400	0.3545325976
401	0.3538610362
402	0.3538610339
403	0.3532204344
404	0.3532204308
405	0.3531892789
406	0.353013512
407	0.3527481539
408	0.3527025957
409	0.3527025944
410	0.3526563396
411	0.3525061173
412	0.3521995055
413	0.3521283737
414	0.3521283723
415	0.3517927541
416	0.3517691698
417	0.3517691668
418	0.3517691653
419	0.3517458188
420	0.3517458168
421	0.3517458143
422	0.3517239025
423	0.350638056
424	0.3505806174
425	0.3505803086
426	0.3504864853
427	0.3502825068
428	0.3502719692
429	0.3502403906
430	0.3502140269
431	0.350146685
432	0.3500468282
433	0.3500468266
434	0.350025257
435	0.3493534907
436	0.3479324769
437	0.3475801586
438	0.3475801494
439	0.3472351725
440	0.3456139492
441	0.3453710055
442	0.3451670762
443	0.3451449846
444	0.345144981
445	0.3451065597
446	0.345086804
447	0.3450651081
448	0.3450446567
449	0.3449473398
450	0.3449042762
451	0.3448935767
452	0.3448149878
453	0.3447685841
454	0.3442464714
455	0.3440046404
456	0.3440046369
457	0.3436562165
458	0.3436479722
459	0.3436479705
460	0.3436412446
461	0.3435006596
462	0.3434580892
463	0.3427048805
464	0.3426865106
465	0.342165429
466	0.3421579495
467	0.3420954951
468	0.3420954945
469	0.341647339
470	0.3416473322
471	0.3416473307
472	0.3416473281
473	0.3415567502
474	0.3415567407
475	0.3415332799
476	0.3414653906
477	0.3414653895
478	0.3414523924
479	0.3414523876
480	0.3414523866
481	0.3404746615
482	0.3404256202
483	0.3403803552
484	0.340333771
485	0.3403337689
486	0.339824487
487	0.3397878682
488	0.3397878638
489	0.3397878618
490	0.3395507819
491	0.3395459741
492	0.3395459724
493	0.3392586883
494	0.3386543124
495	0.338323266
496	0.3382568395
497	0.3382130766
498	0.3380814601
499	0.3380814601
500	0.3380642683
501	0.3379752725
502	0.3379752724
503	0.3379565413
504	0.3379048658
505	0.3376386316
506	0.3372650418
507	0.3372217189
508	0.3372217187
509	0.3372017231
510	0.3371981635
511	0.3371307598
512	0.337089871
513	0.3370742325
514	0.336661785
515	0.3365609334
516	0.3365609334
517	0.3365609334
518	0.3364956971
519	0.3364769799
520	0.3364769797
521	0.3364320096
522	0.3363681225
523	0.3360545835
524	0.3360545832
525	0.3360369718
526	0.3360369715
527	0.3360369709
528	0.3353878043
529	0.3352272649
530	0.3352272635
531	0.3351768709
532	0.3351254851
533	0.3351254848
534	0.3351254837
535	0.3350924946
536	0.3350765235
537	0.3349998899
538	0.3349998893
539	0.3348478011
540	0.3347313554
541	0.3341527415
542	0.3341527415
543	0.3339495972
544	0.3339495972
545	0.3339495972
546	0.3337286498
547	0.3336795251
548	0.3334671452
549	0.3333960052
550	0.3333947473
551	0.3333947473
552	0.3332832324
553	0.3332493349
554	0.3325847269
555	0.3325847269
556	0.3325847269
557	0.3316829409
558	0.3316829409
559	0.3315906652
560	0.3314503293
561	0.3314503292
562	0.3314503291
563	0.3314246724
564	0.3314246724
565	0.3314230395
566	0.3314230394
567	0.3314084382
568	0.3312835713
569	0.3312835487
570	0.3312677594
571	0.3312677594
572	0.3312563964
573	0.3312563964
